SKU,Last_Sale_Date,Category,Monetary,Quantity,Frequency,Recency,Segment,Segment_Name
AN201-RED-M,2022-05-01,Bottom,458.0,2,2,60,0,Dormant/Low-Performer
AN201-RED-XL,2022-06-26,Bottom,602.0,2,2,4,0,Dormant/Low-Performer
AN201-RED-XXL,2022-05-03,Bottom,229.0,1,1,58,0,Dormant/Low-Performer
AN202-ORANGE-M,2022-05-20,Bottom,530.0,2,2,41,0,Dormant/Low-Performer
AN202-ORANGE-S,2022-05-23,Bottom,1141.0,4,4,38,0,Dormant/Low-Performer
AN202-ORANGE-XXL,2022-04-20,Bottom,229.0,1,1,71,0,Dormant/Low-Performer
AN203-MAROON-XXL,2022-05-20,Bottom,301.0,1,1,41,0,Dormant/Low-Performer
AN204-PURPLE-L,2022-06-26,Bottom,956.0,3,3,4,0,Dormant/Low-Performer
AN204-PURPLE-M,2022-06-27,Bottom,322.0,1,1,3,0,Dormant/Low-Performer
AN204-PURPLE-S,2022-06-16,Bottom,322.0,1,1,14,0,Dormant/Low-Performer
AN204-PURPLE-XXL,2022-06-27,Bottom,644.0,2,2,3,0,Dormant/Low-Performer
AN205-YELLOW-S,2022-04-05,Bottom,723.0,3,3,86,0,Dormant/Low-Performer
AN205-YELLOW-XL,2022-06-26,Bottom,903.0,3,3,4,0,Dormant/Low-Performer
AN205-YELLOW-XXL,2022-06-23,Bottom,301.0,1,1,7,0,Dormant/Low-Performer
AN206-GREEN-M,2022-04-07,Bottom,249.0,1,1,84,0,Dormant/Low-Performer
AN206-GREEN-S,2022-06-28,Bottom,301.0,1,1,2,0,Dormant/Low-Performer
AN206-GREEN-XL,2022-06-26,Bottom,301.0,1,1,4,0,Dormant/Low-Performer
AN207-PINK-L,2022-05-23,Bottom,322.0,1,1,38,0,Dormant/Low-Performer
AN207-PINK-S,2022-06-13,Bottom,322.0,1,1,17,0,Dormant/Low-Performer
AN207-PINK-XXL,2022-05-20,Bottom,322.0,1,1,41,0,Dormant/Low-Performer
AN208-MUSTARD-L,2022-05-21,Bottom,301.0,1,1,40,0,Dormant/Low-Performer
AN208-MUSTARD-M,2022-04-09,Bottom,229.0,1,1,82,0,Dormant/Low-Performer
AN208-MUSTARD-S,2022-04-16,Bottom,229.0,1,1,75,0,Dormant/Low-Performer
AN208-MUSTARD-XL,2022-06-16,Bottom,530.0,2,2,14,0,Dormant/Low-Performer
AN208-MUSTARD-XXL,2022-05-24,Bottom,840.0,3,3,37,0,Dormant/Low-Performer
AN209-BIEGE-XL,2022-06-19,Bottom,1373.0,5,5,11,0,Dormant/Low-Performer
AN209-BIEGE-XXL,2022-05-02,Bottom,229.0,1,1,59,0,Dormant/Low-Performer
AN210-NAVY-XL,2022-06-24,Bottom,301.0,1,1,6,0,Dormant/Low-Performer
AN211-BLACK-L,2022-06-08,Bottom,1806.0,6,5,22,0,Dormant/Low-Performer
AN211-BLACK-S,2022-06-23,Bottom,903.0,3,3,7,0,Dormant/Low-Performer
AN211-BLACK-XL,2022-06-12,Bottom,301.0,1,1,18,0,Dormant/Low-Performer
AN211-BLACK-XXL,2022-06-19,Bottom,1204.0,4,3,11,0,Dormant/Low-Performer
AN212-WHITE-L,2022-06-25,Bottom,322.0,1,1,5,0,Dormant/Low-Performer
AN212-WHITE-M,2022-06-18,Bottom,312.0,1,1,12,0,Dormant/Low-Performer
AN212-WHITE-S,2022-06-20,Bottom,312.0,1,1,10,0,Dormant/Low-Performer
AN212-WHITE-XL,2022-06-26,Bottom,644.0,2,2,4,0,Dormant/Low-Performer
AN212-WHITE-XXL,2022-06-27,Bottom,322.0,1,1,3,0,Dormant/Low-Performer
AN213-BROWN-L,2022-05-30,Bottom,1204.0,4,4,31,0,Dormant/Low-Performer
AN213-BROWN-M,2022-05-25,Bottom,301.0,1,1,36,0,Dormant/Low-Performer
AN213-BROWN-S,2022-06-24,Bottom,2264.0,8,8,6,0,Dormant/Low-Performer
AN213-BROWN-XL,2022-05-25,Bottom,301.0,1,1,36,0,Dormant/Low-Performer
BL001-50PINK,2022-04-30,Blouse,419.0,1,1,61,0,Dormant/Low-Performer
BL003-50BLACK,2022-04-30,Blouse,838.0,2,2,61,0,Dormant/Low-Performer
BL003-50BLACK-B,2022-04-18,Blouse,2507.0,6,6,73,0,Dormant/Low-Performer
BL004-50CHIKU-B,2022-04-22,Blouse,419.0,1,1,69,0,Dormant/Low-Performer
BL006-54BLACK,2022-06-28,Blouse,2323.0,6,6,2,0,Dormant/Low-Performer
BL006-54BLACK-B,2022-04-24,Blouse,383.0,1,1,67,0,Dormant/Low-Performer
BL007-61PINK-B,2022-04-16,Blouse,1017.0,3,3,75,0,Dormant/Low-Performer
BL008-61RED-B,2022-04-13,Blouse,678.0,2,2,78,0,Dormant/Low-Performer
BL009-61BLACK,2022-05-09,Blouse,1705.0,5,3,52,0,Dormant/Low-Performer
BL009-61BLACK-B,2022-06-10,Blouse,5265.0,15,15,20,0,Dormant/Low-Performer
BL010-61CHIKU-B,2022-06-10,Blouse,838.0,2,2,20,0,Dormant/Low-Performer
BL011-62PINK-B,2022-05-02,Blouse,372.0,1,1,59,0,Dormant/Low-Performer
BL013-62BLACK,2022-05-26,Blouse,4122.0,11,11,35,0,Dormant/Low-Performer
BL015-63PINK,2022-04-07,Blouse,758.0,2,2,84,0,Dormant/Low-Performer
BL016-63RED-B,2022-05-12,Blouse,385.0,1,1,49,0,Dormant/Low-Performer
BL017-63BLACK,2022-04-17,Blouse,379.0,1,1,74,0,Dormant/Low-Performer
BL017-63BLACK-B,2022-04-15,Blouse,379.0,1,1,76,0,Dormant/Low-Performer
BL019-71PINK,2022-06-01,Blouse,837.0,2,2,29,0,Dormant/Low-Performer
BL019-71PINK-B,2022-04-24,Blouse,838.0,2,2,67,0,Dormant/Low-Performer
BL020-71RED-B,2022-04-13,Blouse,419.0,1,1,78,0,Dormant/Low-Performer
BL021-71BLACK,2022-06-15,Blouse,16745.0,40,39,15,0,Dormant/Low-Performer
BL021-71BLACK-B,2022-04-30,Blouse,838.0,2,2,61,0,Dormant/Low-Performer
BL022-71BEIGE,2022-06-02,Blouse,2094.0,5,4,28,0,Dormant/Low-Performer
BL023-74PINK-B,2022-04-01,Blouse,383.0,1,1,90,0,Dormant/Low-Performer
BL024-74RED,2022-04-24,Blouse,383.0,1,1,67,0,Dormant/Low-Performer
BL024-74RED-B,2022-05-25,Blouse,771.0,2,2,36,0,Dormant/Low-Performer
BL025-74BLACK,2022-06-03,Blouse,388.0,1,1,27,0,Dormant/Low-Performer
BL025-74BLACK-B,2022-05-15,Blouse,1920.0,5,5,46,0,Dormant/Low-Performer
BL026-74BEIGE,2022-04-23,Blouse,383.0,1,1,68,0,Dormant/Low-Performer
BL026-74BEIGE-B,2022-05-01,Blouse,766.0,2,2,60,0,Dormant/Low-Performer
BL029-78BLACK,2022-04-17,Blouse,419.0,1,1,74,0,Dormant/Low-Performer
BL029-78BLACK-B,2022-04-18,Blouse,1676.0,4,4,73,0,Dormant/Low-Performer
BL035-161GOLD,2022-06-28,Blouse,7505.0,20,18,2,0,Dormant/Low-Performer
BL036-176GOLD,2022-06-22,Blouse,3765.0,9,9,8,0,Dormant/Low-Performer
BL041-65RED-A,2022-05-25,Blouse,1935.0,5,5,36,0,Dormant/Low-Performer
BL050-83RED-A,2022-04-04,Blouse,379.0,1,1,87,0,Dormant/Low-Performer
BL053-153GOLD-A,2022-06-17,Blouse,764.0,2,2,13,0,Dormant/Low-Performer
BL055-164GOLD-A,2022-05-03,Blouse,758.0,2,2,58,0,Dormant/Low-Performer
BL056-185GOLD,2022-04-15,Blouse,383.0,1,1,76,0,Dormant/Low-Performer
BL057-65BLACK-A,2022-06-26,Blouse,5930.0,15,15,4,0,Dormant/Low-Performer
BL060-75RED,2022-04-17,Blouse,419.0,1,1,74,0,Dormant/Low-Performer
BL073-85BLACK,2022-04-20,Blouse,429.0,1,1,71,0,Dormant/Low-Performer
BL074-85RED,2022-04-18,Blouse,429.0,1,1,73,0,Dormant/Low-Performer
BL075-85CHIKU,2022-05-20,Blouse,436.0,1,1,41,0,Dormant/Low-Performer
BL079-87RED,2022-06-14,Blouse,865.0,2,2,16,0,Dormant/Low-Performer
BL085-S,2022-06-12,Blouse,460.0,1,1,18,0,Dormant/Low-Performer
BL086-XL,2022-04-11,Blouse,568.0,2,1,80,0,Dormant/Low-Performer
BL086-XXL,2022-04-11,Blouse,568.0,2,2,80,0,Dormant/Low-Performer
BL087-L,2022-06-04,Blouse,647.0,1,1,26,0,Dormant/Low-Performer
BL087-M,2022-06-13,Blouse,1419.0,3,3,17,0,Dormant/Low-Performer
BL087-S,2022-06-05,Blouse,647.0,1,1,25,0,Dormant/Low-Performer
BL087-XS,2022-06-27,Blouse,920.0,2,2,3,0,Dormant/Low-Performer
BL087-XXL,2022-06-21,Blouse,920.0,2,2,9,0,Dormant/Low-Performer
BL089-M,2022-06-23,Blouse,301.0,1,1,7,0,Dormant/Low-Performer
BL089-XS,2022-05-13,Blouse,301.0,1,1,48,0,Dormant/Low-Performer
BL089-XXL,2022-04-24,Blouse,273.0,1,1,67,0,Dormant/Low-Performer
BL090-M,2022-06-16,Blouse,1419.0,3,3,14,0,Dormant/Low-Performer
BL090-S,2022-05-17,Blouse,499.0,1,1,44,0,Dormant/Low-Performer
BL090-XXL,2022-04-18,Blouse,460.0,1,1,73,0,Dormant/Low-Performer
BL093-M,2022-06-23,Blouse,301.0,1,1,7,0,Dormant/Low-Performer
BL093-S,2022-04-23,Blouse,273.0,1,1,68,0,Dormant/Low-Performer
BL095-M,2022-06-16,Blouse,460.0,1,1,14,0,Dormant/Low-Performer
BL095-XL,2022-05-02,Blouse,460.0,1,1,59,0,Dormant/Low-Performer
BL096-S,2022-04-10,Blouse,229.0,1,1,81,0,Dormant/Low-Performer
BL096-XL,2022-05-10,Blouse,301.0,1,1,51,0,Dormant/Low-Performer
BL098-M,2022-06-09,Blouse,372.0,1,1,21,0,Dormant/Low-Performer
BL098-S,2022-06-11,Blouse,1576.0,5,5,19,0,Dormant/Low-Performer
BL098-XL,2022-05-29,Blouse,602.0,2,2,32,0,Dormant/Low-Performer
BL098-XS,2022-04-19,Blouse,419.0,1,1,72,0,Dormant/Low-Performer
BL098-XXL,2022-06-25,Blouse,602.0,2,2,5,0,Dormant/Low-Performer
BL099-L,2022-05-14,Blouse,560.0,2,2,47,0,Dormant/Low-Performer
BL099-S,2022-05-01,Blouse,777.0,3,3,60,0,Dormant/Low-Performer
BL099-XS,2022-04-22,Blouse,259.0,1,1,69,0,Dormant/Low-Performer
BL100-M,2022-04-14,Blouse,259.0,1,1,77,0,Dormant/Low-Performer
BL100-S,2022-04-25,Blouse,777.0,3,3,66,0,Dormant/Low-Performer
BL100-XL,2022-05-10,Blouse,560.0,2,2,51,0,Dormant/Low-Performer
BL101-M,2022-04-27,Blouse,498.0,2,2,64,0,Dormant/Low-Performer
BL101-S,2022-04-24,Blouse,498.0,2,2,67,0,Dormant/Low-Performer
BL101-XS,2022-04-22,Blouse,498.0,2,2,69,0,Dormant/Low-Performer
BL101-XXL,2022-04-21,Blouse,249.0,1,1,70,0,Dormant/Low-Performer
BL102-L,2022-04-07,Blouse,518.0,2,2,84,0,Dormant/Low-Performer
BL102-M,2022-04-26,Blouse,1036.0,4,4,65,0,Dormant/Low-Performer
BL102-S,2022-04-25,Blouse,518.0,2,2,66,0,Dormant/Low-Performer
BL102-XS,2022-04-22,Blouse,259.0,1,1,69,0,Dormant/Low-Performer
BL103-L,2022-06-13,Blouse,2417.0,5,5,17,0,Dormant/Low-Performer
BL103-M,2022-06-02,Blouse,499.0,1,1,28,0,Dormant/Low-Performer
BL103-S,2022-05-26,Blouse,1419.0,3,3,35,0,Dormant/Low-Performer
BL103-XL,2022-06-13,Blouse,4779.0,9,9,17,0,Dormant/Low-Performer
BL103-XS,2022-04-20,Blouse,1380.0,3,3,71,0,Dormant/Low-Performer
BL103-XXL,2022-06-14,Blouse,4678.0,10,10,16,0,Dormant/Low-Performer
BL104-L,2022-06-28,Blouse,5038.0,10,10,2,0,Dormant/Low-Performer
BL104-M,2022-06-12,Blouse,1720.0,3,3,18,0,Dormant/Low-Performer
BL104-S,2022-06-11,Blouse,2994.0,6,6,19,0,Dormant/Low-Performer
BL104-XS,2022-04-04,Blouse,493.0,1,1,87,0,Dormant/Low-Performer
BL104-XXL,2022-05-15,Blouse,2008.0,4,4,46,0,Dormant/Low-Performer
BL107-M,2022-06-24,Blouse,329.0,1,1,6,0,Dormant/Low-Performer
BL107-S,2022-05-20,Blouse,967.0,3,3,41,0,Dormant/Low-Performer
BL107-XL,2022-04-06,Blouse,319.0,1,1,85,0,Dormant/Low-Performer
BL107-XS,2022-06-17,Blouse,959.0,3,3,13,0,Dormant/Low-Performer
BL107-XXL,2022-06-21,Blouse,311.0,1,1,9,0,Dormant/Low-Performer
BL109-L,2022-05-30,Blouse,4125.0,8,8,31,0,Dormant/Low-Performer
BL109-M,2022-06-24,Blouse,3607.0,7,7,6,0,Dormant/Low-Performer
BL109-S,2022-05-06,Blouse,487.0,1,1,55,0,Dormant/Low-Performer
BL109-XL,2022-06-07,Blouse,1247.0,2,2,23,0,Dormant/Low-Performer
BL109-XS,2022-05-27,Blouse,1036.0,2,2,34,0,Dormant/Low-Performer
BL109-XXL,2022-06-21,Blouse,2528.0,5,5,9,0,Dormant/Low-Performer
BL110-L,2022-06-09,Blouse,4073.0,12,12,21,0,Dormant/Low-Performer
BL110-M,2022-05-14,Blouse,682.0,2,2,47,0,Dormant/Low-Performer
BL110-S,2022-06-18,Blouse,1643.0,5,5,12,0,Dormant/Low-Performer
BL110-XL,2022-04-30,Blouse,658.0,2,2,61,0,Dormant/Low-Performer
BL110-XS,2022-04-10,Blouse,329.0,1,1,81,0,Dormant/Low-Performer
BL110-XXL,2022-05-19,Blouse,333.0,1,1,42,0,Dormant/Low-Performer
BL111-L,2022-06-11,Blouse,1141.0,4,4,19,0,Dormant/Low-Performer
BL111-M,2022-06-29,Blouse,882.0,3,3,1,0,Dormant/Low-Performer
BL111-S,2022-04-23,Blouse,840.0,3,3,68,0,Dormant/Low-Performer
BL111-XL,2022-06-25,Blouse,301.0,1,1,5,0,Dormant/Low-Performer
BL111-XS,2022-06-19,Blouse,602.0,2,2,11,0,Dormant/Low-Performer
BL113-L,2022-06-21,Blouse,1449.0,3,3,9,0,Dormant/Low-Performer
BL113-M,2022-05-11,Blouse,493.0,1,1,50,0,Dormant/Low-Performer
BL113-S,2022-04-12,Blouse,1479.0,3,3,79,0,Dormant/Low-Performer
BL113-XL,2022-06-16,Blouse,2958.0,6,6,14,0,Dormant/Low-Performer
BL113-XS,2022-06-01,Blouse,1972.0,4,4,29,0,Dormant/Low-Performer
BL113-XXL,2022-05-30,Blouse,1479.0,3,3,31,0,Dormant/Low-Performer
BTM002-B-L,2022-04-21,Bottom,518.0,1,1,70,0,Dormant/Low-Performer
BTM002-B-M,2022-06-08,Bottom,2801.0,5,5,22,0,Dormant/Low-Performer
BTM002-B-XL,2022-04-19,Bottom,518.0,1,1,72,0,Dormant/Low-Performer
BTM002-B-XXXL,2022-04-20,Bottom,518.0,1,1,71,0,Dormant/Low-Performer
BTM002-L,2022-04-17,Bottom,518.0,1,1,74,0,Dormant/Low-Performer
BTM002-S,2022-04-28,Bottom,1036.0,2,2,63,0,Dormant/Low-Performer
BTM002-XL,2022-06-14,Bottom,1036.0,2,2,16,0,Dormant/Low-Performer
